station;net;plankton;stage;shell;counts;CaCO3_total;PIC_total;volume_sampeled;abundance_conc;PIC_conc;depth_min;depth_max;depth_average
3;nr;coccolith;nr;nr;nr;0.015058141;0.001806977;0.008;nr;0.22587213;nr;nr;5
3;nr;coccolith;nr;nr;nr;0.016406471;0.001968777;0.008;nr;0.246097082;nr;nr;100
3;nr;coccolith;nr;nr;nr;nan;nan;nan;nr;nan;nr;nr;175
3;nr;coccolith;nr;nr;nr;0.003357129;0.000402855;0.008;nr;0.050356931;nr;nr;250
3;nr;coccolith;nr;nr;nr;0.01167485;0.001400982;0.008;nr;0.175122764;nr;nr;400
3;nr;coccolith;nr;nr;nr;0.012990254;0.001558831;0.008;nr;0.194853816;nr;nr;650
3;nr;coccolithophore;nr;nr;74;0.001246586;0.00014959;0.008;9250;0.018698788;nr;nr;5
3;nr;coccolithophore;nr;nr;114;0.00415903;0.000499084;0.008;14250;0.062385455;nr;nr;100
3;nr;coccolithophore;nr;nr;0;nan;nan;nan;nan;nan;nr;nr;175
3;nr;coccolithophore;nr;nr;9;0.000827329;9.93E-05;0.008;1125;0.012409936;nr;nr;250
3;nr;coccolithophore;nr;nr;11;0.000298101;3.58E-05;0.008;1375;0.004471511;nr;nr;400
3;nr;coccolithophore;nr;nr;7;0.000365091;4.38E-05;0.008;875;0.005476359;nr;nr;650
4;nr;coccolith;nr;nr;nr;0.010982104;0.001317853;0.007;nr;0.188264651;nr;nr;1000
4;nr;coccolith;nr;nr;nr;0.021817374;0.002618085;0.008;nr;0.327260623;nr;nr;2000
4;nr;coccolith;nr;nr;nr;nan;nan;nan;nr;nan;nr;nr;3000
4;nr;coccolith;nr;nr;nr;0.009704173;0.001164501;0.008;nr;0.145562608;nr;nr;4000
4;nr;coccolith;nr;nr;nr;0.004354657;0.000522559;0.0085;nr;0.061477509;nr;nr;4905
4;nr;coccolithophore;nr;nr;5;0.000259017;3.11E-05;0.007;714.2857143;0.004440286;nr;nr;1000
4;nr;coccolithophore;nr;nr;3;0.000711248;8.53E-05;0.008;375;0.010668715;nr;nr;2000
4;nr;coccolithophore;nr;nr;0;0;0;0.0085;0;0;nr;nr;3000
4;nr;coccolithophore;nr;nr;0;0;0;0.008;0;0;nr;nr;4000
4;nr;coccolithophore;nr;nr;0;0;0;0.0085;0;0;nr;nr;4905
6;5;gastropod;adult;full;314;46.9300042;5.631600729;431;0.728538283;0.013066359;0;150;75
6;5;gastropod;juvenile;full;1110;14.4719091;1.736629162;431;2.575406032;0.004029302;0;150;75
6;4;gastropod;adult;full;14;0.395111451;0.047413376;128;0.109375;0.000370417;150;200;175
6;5;foram;large;full;688;7.579310869;0.909517341;431;1.596287703;0.002110249;0;150;75
6;4;gastropod;juvenile;full;24;0.157333327;0.01888;128;0.1875;0.0001475;150;200;175
9;5;gastropod;adult;full;26;2.621480645;0.31457769;510;0.050980392;0.000616819;0;150;75
9;5;gastropod;adult;empty;0;0;0;510;0;0;0;150;75
6;4;foram;large;full;16;0.176263043;0.021151566;128;0.125;0.000165247;150;200;175
9;5;gastropod;juvenile;empty;22;1.24176495;0.1490118;510;0.043137255;0.00029218;0;150;75
9;5;gastropod;juvenile;full;688;7.26061471;0.8712738;510;1.349019608;0.00170838;0;150;75
6;3;foram;large;full;16;0.176263043;0.021151566;436;0.036697248;4.85E-05;200;300;250
6;3;gastropod;adult;full;6;0.296116655;0.035534;436;0.013761468;8.15E-05;200;300;250
6;2;foram;large;full;14;0.154230163;0.01850762;490;0.028571429;3.78E-05;300;500;400
6;3;gastropod;juvenile;full;14;0.104639996;0.0125568;436;0.032110092;2.88E-05;200;300;250
6;1;foram;large;full;6;0.066098641;0.007931837;212;0.028301887;3.74E-05;500;800;650
9;5;foram;large;full;468;5.155694022;0.618683307;510;0.917647059;0.001213105;0;150;75
9;4;foram;large;full;56;0.616920652;0.074030481;209;0.267942584;0.000354213;150;200;175
9;3;foram;large;full;8;0.088131522;0.010575783;466;0.017167382;2.27E-05;200;300;250
9;2;foram;large;full;4;0.044065761;0.005287892;913;0.004381161;5.79E-06;300;500;400
9;1;foram;large;full;4;0.044065761;0.005287892;367;0.010899183;1.44E-05;500;800;650
6;2;gastropod;adult;full;2;0.162108327;0.019453;490;0.004081633;3.97E-05;300;500;400
6;2;gastropod;juvenile;full;10;0.373216652;0.044786;490;0.020408163;9.14E-05;300;500;400
9;4;gastropod;adult;full;2;0.228666891;0.027440028;209;0.009569378;0.000131292;150;200;175
9;4;gastropod;adult;empty;0;0;0;209;0;0;150;200;175
9;4;gastropod;juvenile;empty;32;0.33271057;0.03992527;209;0.153110048;0.00019103;150;200;175
9;4;gastropod;juvenile;full;38;0.774571386;0.09294857;209;0.181818182;0.00044473;150;200;175
6;1;gastropod;adult;full;0;0;0;212;0;0;500;800;650
6;1;gastropod;juvenile;full;0;0;0;212;0;0;500;800;650
6;5;gastropod;adult;empty;0;0;0;431;0;0;0;150;75
6;5;gastropod;juvenile;empty;18;2.115268899;0.253832278;431;0.041763341;0.000588938;0;150;75
6;5;foram;small;full;973.0767;0.002270603;0.000272472;431;2.257718561;6.32E-07;0;150;75
6;4;foram;small;full;22.62969;5.28E-05;6.34E-06;128;0.176794453;4.95E-08;150;200;175
6;3;foram;small;full;22.62969;5.28E-05;6.34E-06;436;0.051902959;1.45E-08;200;300;250
6;2;foram;small;full;19.80098;4.62E-05;5.54E-06;490;0.040410163;1.13E-08;300;500;400
