station;plankton type;stage;value;PICorPOC
6;H. Inflatus;adult;0.007478736;PIC
6;H. Inflatus;juvenile;0.001733057;PIC
6;H. Inflatus;adult;0.005302128;POC
6;H. Inflatus;juvenile;0.005207273;POC
6;L. Bulimoides;adult;0.004487949;PIC
6;L. Bulimoides;juvenile;0.001358704;PIC
6;L. Bulimoides;adult;0.0024;POC
6;L. Bulimoides;juvenile;0.000732567;POC
9;H. Inflatus;adult;0.012004802;PIC
9;H. Inflatus;juvenile;0.000778493;PIC
9;H. Inflatus;adult;0.027466667;POC
9;H. Inflatus;juvenile;0.001090909;POC
9;L. Bulimoides;adult;0.023769508;PIC
9;L. Bulimoides;juvenile;0.001071133;PIC
9;L. Bulimoides;adult;0.028266667;POC
9;L. Bulimoides;juvenile;0.000743662;POC
39;H. Inflatus;adult;0.007017146;PIC
39;H. Inflatus;juvenile;0.000669268;PIC
39;H. Inflatus;adult;0.005720755;POC
39;H. Inflatus;juvenile;0.00095;POC
39;L. Bulimoides;adult;0.007861749;PIC
39;L. Bulimoides;juvenile;0.000984394;PIC
39;L. Bulimoides;adult;0.006697674;POC
39;L. Bulimoides;juvenile;0.00126;POC
